MonthYear,Hashtags,Hashtag Rate (%)
4-2022,#ai,45.83
4-2022,#artificialintelligence,16.67
4-2022,#machinelearning,16.67
4-2022,#fintech,12.5
4-2022,#aiart,12.5
4-2022,#deeplearning,12.5
4-2022,#metaverse,12.5
4-2022,#python,12.5
4-2022,#iot,8.33
4-2022,#100daysofcode,8.33
4-2022,#cybersecurite,8.33
4-2022,#ml,8.33
4-2022,#cybersecurity,8.33
4-2022,#technology,8.33
4-2022,#midjourney,8.33
4-2022,#bitcoin,8.33
4-2022,#nocode,8.33
4-2022,#generativeart,8.33
4-2022,#insurtech,8.33
4-2022,#aiethics,8.33
4-2022,#abstract,4.17
4-2022,#analyticsinsight,4.17
4-2022,#marketing,4.17
4-2022,#communications,4.17
4-2022,#nftartist,4.17
4-2022,#dl,4.17
4-2022,#gan,4.17
4-2022,#content,4.17
4-2022,#gartner,4.17
4-2022,#javascript,4.17
4-2022,#blog,4.17
4-2022,#compute,4.17
4-2022,#nlp,4.17
4-2022,#creativecoding,4.17
4-2022,#tech,4.17
4-2022,#nfts,4.17
4-2022,#ainews,4.17
4-2022,#aiartwork,4.17
4-2022,#inteligenciaartificial,4.17
4-2022,#p5js,4.17
4-2022,#climateaction,0.0
4-2022,#digitaltwins,0.0
4-2022,"#generativeai""",0.0
4-2022,#deforum,0.0
4-2022,#amazonbedrock,0.0
4-2022,#aicontent,0.0
4-2022,#cgsociety,0.0
4-2022,#spacex,0.0
4-2022,#corpgov,0.0
4-2022,#technologynews,0.0
5-2022,#abstract,40.0
5-2022,#generativeart,40.0
5-2022,#ai,28.57
5-2022,#generative,24.76
5-2022,#psychedelic,22.86
5-2022,#nftcommunity,21.9
5-2022,#nfts,18.1
5-2022,#aiart,13.33
5-2022,#dalle2,12.38
5-2022,#nft,11.43
5-2022,#art,7.62
5-2022,#digitalart,6.67
5-2022,#aiartcommunity,5.71
5-2022,#artificialintelligence,5.71
5-2022,#midjourney,4.76
5-2022,#creativeindustries,4.76
5-2022,#aiartist,3.81
5-2022,#machinelearning,3.81
5-2022,#aiartwork,3.81
5-2022,#photoshop,3.81
5-2022,#nftart,2.86
5-2022,#discodiffusion,2.86
5-2022,#nftartist,2.86
5-2022,#dalle,2.86
5-2022,#conceptart,2.86
5-2022,#deeplearning,2.86
5-2022,#fashiontech,1.9
5-2022,#3dmodels,1.9
5-2022,#deepfake,1.9
5-2022,#creativity,1.9
5-2022,#robotics,1.9
5-2022,#aicommunity,1.9
5-2022,#generativedesign,1.9
5-2022,#creativea,1.9
5-2022,#fashion,1.9
5-2022,#neuralart,1.9
5-2022,#nftproject,1.9
5-2022,#creative,1.9
5-2022,#communication,0.95
5-2022,#surreal,0.95
5-2022,#nftcollector,0.95
5-2022,#digitaltransformation,0.95
5-2022,#startup,0.95
5-2022,#aiethics,0.95
5-2022,#nocode,0.95
5-2022,#artists,0.95
5-2022,#love,0.95
5-2022,#cyberpunk,0.95
