Username,Date,Sentiment Score,Day of Week,Hour,Month,Year,MonthYear
resembleai,2023-04-19,0.25143218,2,21,4,2023,4/2023
devaanparbhoo,2023-04-19,-0.35805738,2,21,4,2023,4/2023
timreha,2023-04-19,0.8209661,2,21,4,2023,4/2023
VirtReview,2023-04-19,0.907774,2,21,4,2023,4/2023
FrozeElle,2023-04-19,0.8798739,2,21,4,2023,4/2023
rmlopez13,2023-04-19,0.85817146,2,21,4,2023,4/2023
annebonnerdata,2023-04-19,0.8601544,2,21,4,2023,4/2023
MarcoVespa,2023-04-19,0.90637636,2,21,4,2023,4/2023
hepkitten,2023-04-19,0.6727909,2,21,4,2023,4/2023
VentureBeat,2023-04-19,0.85712874,2,21,4,2023,4/2023
MaribelLopez,2023-04-19,0.7874023,2,21,4,2023,4/2023
podlablk,2023-04-19,0.84065104,2,21,4,2023,4/2023
diffusionbot,2023-04-19,0.835166,2,21,4,2023,4/2023
genztutz,2023-04-19,0.91433537,2,21,4,2023,4/2023
AlexisGoncalves,2023-04-19,0.6066865,2,21,4,2023,4/2023
AIStartupNames,2023-04-19,0.45368922,2,21,4,2023,4/2023
chatgptcrafters,2023-04-19,0.6309402,2,21,4,2023,4/2023
ddskier,2023-04-19,0.774649,2,21,4,2023,4/2023
TomLikesRobots,2023-04-19,-0.25602764,2,21,4,2023,4/2023
unrealpixels,2023-04-19,0.70593405,2,21,4,2023,4/2023
goJedaAi,2023-04-19,0.73346925,2,21,4,2023,4/2023
HakomTimeSeries,2023-04-19,0.56373644,2,21,4,2023,4/2023
joshhuang,2023-04-19,0.82843995,2,21,4,2023,4/2023
liwaiwaicom,2023-04-19,0.90140736,2,20,4,2023,4/2023
robhof,2023-04-19,0.81192744,2,20,4,2023,4/2023
DarshanaN,2023-04-19,0.8236015,2,20,4,2023,4/2023
DarshanaN,2023-04-19,0.61784613,2,20,4,2023,4/2023
dogdoor,2023-04-19,0.7354939,2,20,4,2023,4/2023
per_arneng,2023-04-19,-0.278256,2,20,4,2023,4/2023
lawdroid,2023-04-19,0.44094026,2,20,4,2023,4/2023
wyzborrero,2023-04-19,0.88204026,2,20,4,2023,4/2023
YasirBucha,2023-04-19,0.95450723,2,20,4,2023,4/2023
DarshanaN,2023-04-19,0.47557473,2,20,4,2023,4/2023
aiwizard_ai,2023-04-19,0.16530597,2,20,4,2023,4/2023
wyzborrero,2023-04-19,0.9265343,2,20,4,2023,4/2023
Sid_Healthcare,2023-04-19,0.7506591,2,20,4,2023,4/2023
aneesmerchant,2023-04-19,-0.5125598,2,20,4,2023,4/2023
TomLikesRobots,2023-04-19,0.006967187,2,20,4,2023,4/2023
AArtshow,2023-04-19,0.8090441,2,20,4,2023,4/2023
Matt_pwc,2023-04-19,0.839597,2,20,4,2023,4/2023
bcgx_,2023-04-19,0.8866782,2,20,4,2023,4/2023
devopsdotcom,2023-04-19,0.80234003,2,20,4,2023,4/2023
annebonnerdata,2023-04-19,-0.3989041,2,20,4,2023,4/2023
ParisFinForum,2023-04-19,0.2946868,2,20,4,2023,4/2023
stephatkins,2023-04-19,-0.16387874,2,20,4,2023,4/2023
MaribelLopez,2023-04-19,0.5926578,2,20,4,2023,4/2023
VentureBeat,2023-04-19,-0.45841902,2,20,4,2023,4/2023
XenoMuseum,2023-04-19,0.8936014,2,20,4,2023,4/2023
CraftDomain,2023-04-19,0.943823,2,20,4,2023,4/2023
andresfelipegil,2023-04-19,0.7967371,2,20,4,2023,4/2023
HakomTimeSeries,2023-04-19,-0.4463085,2,20,4,2023,4/2023
telecomcouncil,2023-04-19,0.35524476,2,20,4,2023,4/2023
Jason_Acevedo,2023-04-19,0.7344786,2,20,4,2023,4/2023
RAlexJimenez,2023-04-19,0.26178575,2,20,4,2023,4/2023
robersv,2023-04-19,0.47636104,2,20,4,2023,4/2023
ACon_News,2023-04-19,-0.0819962,2,20,4,2023,4/2023
gemstooneii,2023-04-19,0.57936263,2,19,4,2023,4/2023
Experiential_AI,2023-04-19,0.5226654,2,19,4,2023,4/2023
sinequa,2023-04-19,0.40815866,2,19,4,2023,4/2023
RaviPereraSL,2023-04-19,0.8943579,2,19,4,2023,4/2023
agiheretic,2023-04-19,0.9592358,2,19,4,2023,4/2023
birch_ai,2023-04-19,0.5469401,2,19,4,2023,4/2023
VFInsights,2023-04-19,0.7107985,2,19,4,2023,4/2023
grassycarl,2023-04-19,0.8620378,2,19,4,2023,4/2023
KirkDBorne,2023-04-19,-0.11027002,2,19,4,2023,4/2023
RetailInstant,2023-04-19,0.9942864,2,19,4,2023,4/2023
trishuhl,2023-04-19,0.77923214,2,19,4,2023,4/2023
HakomTimeSeries,2023-04-19,0.84604406,2,19,4,2023,4/2023
musicaiofficial,2023-04-19,0.9592109,2,19,4,2023,4/2023
aiwizard_ai,2023-04-19,0.7620455,2,19,4,2023,4/2023
Botulusbotulus,2023-04-19,0.68920374,2,19,4,2023,4/2023
franklingraves,2023-04-19,0.8242091,2,19,4,2023,4/2023
shamitb,2023-04-19,0.5161165,2,19,4,2023,4/2023
jgabyjah,2023-04-19,0.97161925,2,19,4,2023,4/2023
aneesmerchant,2023-04-19,0.46239233,2,19,4,2023,4/2023
enqbator,2023-04-19,0.8561348,2,19,4,2023,4/2023
_generativeai,2023-04-19,0.82471895,2,19,4,2023,4/2023
JamesMaguire,2023-04-19,0.5932646,2,19,4,2023,4/2023
alexharm,2023-04-19,0.8905965,2,19,4,2023,4/2023
ilkedemir,2023-04-19,0.8802457,2,19,4,2023,4/2023
Akash93892149,2023-04-19,0.94532454,2,19,4,2023,4/2023
c4chaos,2023-04-19,0.9173858,2,19,4,2023,4/2023
Lago72,2023-04-19,-0.13901603,2,19,4,2023,4/2023
Gentrafinc,2023-04-19,0.5145571,2,19,4,2023,4/2023
PolarBearby,2023-04-19,0.10969567,2,19,4,2023,4/2023
RouxInstitute,2023-04-19,0.6182401,2,19,4,2023,4/2023
PresentHannah,2023-04-19,0.9041517,2,19,4,2023,4/2023
mrlakix,2023-04-19,0.27027774,2,19,4,2023,4/2023
michelejmartin,2023-04-19,0.40517735,2,19,4,2023,4/2023
eickernews,2023-04-19,0.9399122,2,19,4,2023,4/2023
MSNKarthik,2023-04-19,0.64693415,2,19,4,2023,4/2023
Golemiker,2023-04-19,0.9017427,2,19,4,2023,4/2023
pmainardi,2023-04-19,0.45750368,2,19,4,2023,4/2023
